variant,algo,seed,step,return_smooth
tuned,a2c,42,1494,60.32
tuned,a2c,42,6528,73.3560210803689
tuned,a2c,42,11563,78.3
tuned,a2c,42,16598,76.25242424242424
tuned,a2c,42,21633,79.46000000000001
tuned,a2c,42,26668,79.94
tuned,a2c,42,31703,79.96000000000001
tuned,a2c,42,36738,76.46000000000001
tuned,a2c,42,41773,79.98
tuned,a2c,42,46808,76.97101200686102
tuned,a2c,42,51843,80.0
tuned,a2c,42,56878,79.47999999999999
tuned,a2c,42,61913,43.72
tuned,a2c,42,66948,79.97999999999999
tuned,a2c,42,71983,79.91999999999999
tuned,a2c,42,77017,69.2135757575758
tuned,a2c,42,82052,79.58000000000001
tuned,a2c,42,87087,79.96
tuned,a2c,42,92122,80.0
tuned,a2c,42,97157,79.9
tuned,a2c,42,102192,73.77076767676748
tuned,a2c,42,107227,80.0
tuned,a2c,42,112262,79.98
tuned,a2c,42,117297,-50.26274747474748
tuned,a2c,42,122332,79.67999999999999
tuned,a2c,42,127367,79.70880341880327
tuned,a2c,42,132402,77.63999999999999
tuned,a2c,42,137437,79.64599999999994
tuned,a2c,42,142472,79.4555151515149
tuned,a2c,42,147506,78.8371616161612
tuned,a2c,42,152541,79.98
tuned,a2c,42,157576,79.06
tuned,a2c,42,162611,80.0
tuned,a2c,42,167646,79.9
tuned,a2c,42,172681,78.06
tuned,a2c,42,177716,76.53999999999999
tuned,a2c,42,182751,79.6
tuned,a2c,42,187786,80.0
tuned,a2c,42,192821,77.38
tuned,a2c,42,197856,79.97999999999999
tuned,a2c,42,202891,63.2962222222219
tuned,a2c,42,207926,79.98
tuned,a2c,42,212961,80.0
tuned,a2c,42,217995,79.91999999999999
tuned,a2c,42,223030,80.0
tuned,a2c,42,228065,80.0
tuned,a2c,42,233100,79.98
tuned,a2c,42,238135,80.0
tuned,a2c,42,243170,79.91999999999999
tuned,a2c,42,248205,77.69999999999999
tuned,a2c,42,253240,76.02981115502831
tuned,a2c,42,258275,80.0
tuned,a2c,42,263310,79.97999999999999
tuned,a2c,42,268345,80.0
tuned,a2c,42,273380,80.0
tuned,a2c,42,278415,80.0
tuned,a2c,42,283450,76.887345149609
tuned,a2c,42,288484,79.47999999999999
tuned,a2c,42,293519,79.1
tuned,a2c,42,298554,79.98
tuned,a2c,42,303589,74.88
tuned,a2c,42,308624,79.96091582491583
tuned,a2c,42,313659,80.0
tuned,a2c,42,318694,80.0
tuned,a2c,42,323729,80.0
tuned,a2c,42,328764,80.0
tuned,a2c,42,333799,80.0
tuned,a2c,42,338834,75.82
tuned,a2c,42,343869,79.94
tuned,a2c,42,348904,80.0
tuned,a2c,42,353939,77.5
tuned,a2c,42,358973,79.78
tuned,a2c,42,364008,80.0
tuned,a2c,42,369043,77.58
tuned,a2c,42,374078,79.85999999999999
tuned,a2c,42,379113,13.745878787877507
tuned,a2c,42,384148,79.66
tuned,a2c,42,389183,79.98
tuned,a2c,42,394218,77.5
tuned,a2c,42,399253,78.53999999999999
tuned,a2c,42,404288,79.97999999999999
tuned,a2c,42,409323,80.0
tuned,a2c,42,414358,80.0
tuned,a2c,42,419393,79.22
tuned,a2c,42,424428,79.88
tuned,a2c,42,429462,67.40826262626237
tuned,a2c,42,434497,79.97999999999999
tuned,a2c,42,439532,80.0
tuned,a2c,42,444567,80.0
tuned,a2c,42,449602,79.96
tuned,a2c,42,454637,79.94
